"id","created_at","updated_at","scope","paper_id","title","risk","status","path","git_commit"
"APR-20260714-094922-2ac71e","2026-07-14T09:49:22+08:00","2026-07-14T09:58:20+08:00","paper","nonionic-contrast-faers-nursing","Journal route for NICM FAERS nursing manuscript","high","revised","logs/approvals/2026/07/APR-20260714-094922-2ac71e-journal-route-for-nicm-faers-nursing-manuscript.md","a33f271"
"APR-20260714-095357-b3a51c","2026-07-14T09:53:57+08:00","2026-07-14T09:58:21+08:00","paper","nonionic-contrast-faers-nursing","Journal-agnostic manuscript structural revision","medium","approved","logs/approvals/2026/07/APR-20260714-095357-b3a51c-journal-agnostic-manuscript-structural-revision.md","a33f271"
"APR-20260714-100909-39d94c","2026-07-14T10:09:09+08:00","2026-07-14T10:10:38+08:00","paper","nonionic-contrast-faers-nursing","Target journal route decision for NICM FAERS nursing manuscript","high","revised","logs/approvals/2026/07/APR-20260714-100909-39d94c-target-journal-route-decision-for-nicm-faers-nursing-manuscript.md",""
"APR-20260714-101039-8e66a0","2026-07-14T10:10:39+08:00","2026-07-14T10:12:33+08:00","paper","nonionic-contrast-faers-nursing","Independent target journal strategy recommendation","high","approved","logs/approvals/2026/07/APR-20260714-101039-8e66a0-independent-target-journal-strategy-recommendation.md",""
"APR-20260714-102113-3d2fc1","2026-07-14T10:21:13+08:00","2026-07-14T10:34:14+08:00","paper","nonionic-contrast-faers-nursing","Expanded journal shortlist and primary target lock","high","revised","logs/approvals/2026/07/APR-20260714-102113-3d2fc1-expanded-journal-shortlist-and-primary-target-lock.md",""
"APR-20260714-103756-60dc1a","2026-07-14T10:37:56+08:00","2026-07-14T10:38:50+08:00","paper","nonionic-contrast-faers-nursing","Nursing non-OA SCI submission sequence","high","revised","logs/approvals/2026/07/APR-20260714-103756-60dc1a-nursing-non-oa-sci-submission-sequence.md",""
"APR-20260714-104115-0c930b","2026-07-14T10:41:15+08:00","2026-07-14T11:09:24+08:00","paper","nonionic-contrast-faers-nursing","Mixed-scope hybrid SCI submission sequence","high","revised","logs/approvals/2026/07/APR-20260714-104115-0c930b-mixed-scope-hybrid-sci-submission-sequence.md",""
"APR-20260714-111137-80bc6d","2026-07-14T11:11:37+08:00","2026-07-14T13:45:40+08:00","paper","nonionic-contrast-faers-nursing","Ten-journal SCI submission ladder","high","revised","logs/approvals/2026/07/APR-20260714-111137-80bc6d-ten-journal-sci-submission-ladder.md",""
"APR-20260714-134853-233bfc","2026-07-14T13:48:53+08:00","2026-07-14T14:37:26+08:00","paper","nonionic-contrast-faers-nursing","Four-journal final target recommendation","high","revised","logs/approvals/2026/07/APR-20260714-134853-233bfc-four-journal-final-target-recommendation.md",""
"APR-20260714-143914-2d163b","2026-07-14T14:39:14+08:00","2026-07-14T14:50:48+08:00","paper","nonionic-contrast-faers-nursing","JAN-first then CMS fallback target route","high","revised","logs/approvals/2026/07/APR-20260714-143914-2d163b-jan-first-then-cms-fallback-target-route.md",""
"APR-20260714-145059-11383c","2026-07-14T14:50:59+08:00","2026-07-14T14:54:16+08:00","paper","nonionic-contrast-faers-nursing","Nursing Open first then CMS fallback target route","high","approved","logs/approvals/2026/07/APR-20260714-145059-11383c-nursing-open-first-then-cms-fallback-target-route.md","997151e"
"APR-20260714-153244-865f5c","2026-07-14T15:32:44+08:00","2026-07-14T15:36:20+08:00","paper","nonionic-contrast-faers-nursing","Nursing Open manuscript revision plan","high","approved","logs/approvals/2026/07/APR-20260714-153244-865f5c-nursing-open-manuscript-revision-plan.md",""
"APR-20260716-113207-fad196","2026-07-16T11:32:07+08:00","2026-07-16T11:32:07+08:00","global","","Add research direction exploration module","medium","pending","logs/approvals/2026/07/APR-20260716-113207-fad196-add-research-direction-exploration-module.md",""
